Day,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost,
1,DIJKSTRA,39,4321400,176.8, ,IDA*,49,119400,174.1, ,LRTA*,24,110400,982.7000000000002, 
2,DIJKSTRA,39,825900,215.75, ,IDA*,49,87900,205.4, ,LRTA*,106,465400,3219.3499999999995, 
3,DIJKSTRA,39,735800,207.0, ,IDA*,49,60900,207.0, ,LRTA*,5,22300,205.25, 
4,DIJKSTRA,39,614100,191.35, ,IDA*,49,61900,190.75, ,LRTA*,7,37200,306.75, 
5,DIJKSTRA,39,575100,200.0, ,IDA*,49,72200,188.0, ,LRTA*,7,29100,356.75, 
6,DIJKSTRA,39,546900,182.0, ,IDA*,49,65100,186.65, ,LRTA*,5,20900,182.0, 
7,DIJKSTRA,39,531300,207.7, ,IDA*,49,64800,180.2, ,LRTA*,5,24600,189.9, 
8,DIJKSTRA,39,518200,179.9, ,IDA*,49,19900,191.4, ,LRTA*,5,19700,179.9, 
9,DIJKSTRA,39,354900,202.75, ,IDA*,49,28700,202.75, ,LRTA*,5,20900,197.25, 
10,DIJKSTRA,39,340800,206.8, ,IDA*,49,43800,206.8, ,LRTA*,14,52500,427.75, 
11,DIJKSTRA,39,635700,182.15, ,IDA*,49,73500,195.15, ,LRTA*,6,44200,198.15, 
12,DIJKSTRA,39,510400,174.1, ,IDA*,49,20200,174.1, ,LRTA*,5,30900,175.9, 
13,DIJKSTRA,39,534000,174.3, ,IDA*,49,23700,178.95000000000002, ,LRTA*,5,31800,174.3, 
14,DIJKSTRA,39,447200,197.25, ,IDA*,49,22300,201.9, ,LRTA*,5,26700,197.25, 
15,DIJKSTRA,39,412000,202.9, ,IDA*,49,20600,202.9, ,LRTA*,5,19000,195.65, 
16,DIJKSTRA,39,565200,181.8, ,IDA*,49,46000,181.8, ,LRTA*,5,29200,182.0, 
17,DIJKSTRA,39,1298000,200.0, ,IDA*,49,60700,197.5, ,LRTA*,5,48000,200.0, 
18,DIJKSTRA,39,447500,192.0, ,IDA*,49,23900,192.0, ,LRTA*,5,31200,200.0, 
19,DIJKSTRA,39,474800,185.4, ,IDA*,49,34400,181.9, ,LRTA*,5,27100,184.4, 
20,DIJKSTRA,39,365800,205.25, ,IDA*,49,18500,207.5, ,LRTA*,5,22600,205.25, 
21,DIJKSTRA,39,469700,176.0, ,IDA*,49,18500,175.4, ,LRTA*,5,50400,189.1, 
22,DIJKSTRA,39,565100,203.85, ,IDA*,49,24500,204.5, ,LRTA*,5,22600,205.25, 
23,DIJKSTRA,39,500200,175.20000000000002, ,IDA*,49,18800,174.25, ,LRTA*,5,25800,174.3, 
24,DIJKSTRA,39,433100,205.25, ,IDA*,49,46700,205.55, ,LRTA*,5,25800,205.25, 
25,DIJKSTRA,39,1584800,185.45000000000002, ,IDA*,49,23000,199.4, ,LRTA*,5,23500,193.15, 
26,DIJKSTRA,39,900100,202.15, ,IDA*,49,25000,187.4, ,LRTA*,5,23600,175.9, 
27,DIJKSTRA,39,410700,180.8, ,IDA*,49,21800,178.1, ,LRTA*,5,23600,179.9, 
28,DIJKSTRA,39,611700,203.8, ,IDA*,49,23400,181.55, ,LRTA*,5,28500,193.9, 
29,DIJKSTRA,39,371000,204.75, ,IDA*,49,22200,174.65, ,LRTA*,5,21700,173.0, 
30,DIJKSTRA,39,507100,181.45, ,IDA*,49,22800,181.45, ,LRTA*,5,26400,175.9, 
31,DIJKSTRA,39,1322500,198.95000000000002, ,IDA*,49,35100,193.85, ,LRTA*,5,50800,195.65, 
32,DIJKSTRA,39,708600,182.55, ,IDA*,49,25300,181.55, ,LRTA*,5,37800,193.9, 
33,DIJKSTRA,39,335400,201.05, ,IDA*,49,18200,201.05, ,LRTA*,5,19000,197.25, 
34,DIJKSTRA,39,242600,179.7, ,IDA*,49,19400,179.7, ,LRTA*,5,19600,175.9, 
35,DIJKSTRA,39,551600,185.8, ,IDA*,49,21700,185.8, ,LRTA*,5,39000,186.0, 
36,DIJKSTRA,39,283200,175.9, ,IDA*,49,9600,181.65, ,LRTA*,5,11200,175.9, 
37,DIJKSTRA,39,163200,211.25, ,IDA*,49,9300,203.5, ,LRTA*,5,11000,211.25, 
38,DIJKSTRA,39,156800,195.55, ,IDA*,49,10100,197.55, ,LRTA*,5,28800,195.55, 
39,DIJKSTRA,39,177700,180.3, ,IDA*,49,8800,180.3, ,LRTA*,5,10800,174.3, 
